age,gender,bmi,fitness_level,goal,workout_plan
36,Female,33.1,Beginner,Lean Bulk,Full Body Beginner
49,Female,34.5,Beginner,Lean Bulk,Full Body Beginner
49,Male,24.6,Beginner,Lean Bulk,Full Body Beginner
32,Female,30.4,Beginner,Lean Bulk,Full Body Beginner
48,Male,22.9,Beginner,Lean Bulk,Full Body Beginner
27,Male,34.3,Beginner,Lean Bulk,Full Body Beginner
44,Male,26.1,Beginner,Lean Bulk,Full Body Beginner
33,Male,33.5,Beginner,Lean Bulk,Full Body Beginner
41,Male,19.1,Beginner,Lean Bulk,Full Body Beginner
22,Male,28.4,Beginner,Lean Bulk,Full Body Beginner
31,Male,28.8,Beginner,Lean Bulk,Full Body Beginner
21,Female,33.9,Beginner,Lean Bulk,Full Body Beginner
28,Female,32.2,Beginner,Lean Bulk,Full Body Beginner
28,Male,28.6,Beginner,Lean Bulk,Full Body Beginner
36,Female,18.7,Beginner,Lean Bulk,Full Body Beginner
42,Male,34.8,Beginner,Lean Bulk,Full Body Beginner
41,Female,18.2,Beginner,Lean Bulk,Full Body Beginner
41,Male,20.3,Beginner,Lean Bulk,Full Body Beginner
38,Male,28.2,Beginner,Lean Bulk,Full Body Beginner
27,Male,31.7,Beginner,Lean Bulk,Full Body Beginner
47,Male,32.4,Beginner,Lean Bulk,Full Body Beginner
33,Female,27.4,Beginner,Lean Bulk,Full Body Beginner
19,Female,30.1,Beginner,Lean Bulk,Full Body Beginner
26,Female,33.9,Beginner,Lean Bulk,Full Body Beginner
45,Male,22.7,Beginner,Lean Bulk,Full Body Beginner
23,Male,34.8,Beginner,Lean Bulk,Full Body Beginner
21,Female,27.9,Beginner,Lean Bulk,Full Body Beginner
38,Female,29.7,Beginner,Lean Bulk,Full Body Beginner
27,Male,22.7,Beginner,Lean Bulk,Full Body Beginner
26,Female,19.4,Beginner,Lean Bulk,Full Body Beginner
37,Male,32.5,Beginner,Lean Bulk,Full Body Beginner
47,Male,34.0,Beginner,Lean Bulk,Full Body Beginner
36,Male,30.9,Beginner,Lean Bulk,Full Body Beginner
43,Male,22.1,Beginner,Lean Bulk,Full Body Beginner
32,Female,30.3,Intermediate,Lean Bulk,Push Pull Legs
47,Female,30.8,Intermediate,Lean Bulk,Push Pull Legs
39,Male,26.8,Intermediate,Lean Bulk,Push Pull Legs
24,Male,21.7,Intermediate,Lean Bulk,Push Pull Legs
38,Female,26.1,Intermediate,Lean Bulk,Push Pull Legs
40,Male,29.1,Intermediate,Lean Bulk,Push Pull Legs
45,Female,28.9,Intermediate,Lean Bulk,Push Pull Legs
50,Male,26.3,Intermediate,Lean Bulk,Push Pull Legs
27,Male,32.1,Intermediate,Lean Bulk,Push Pull Legs
43,Male,29.9,Intermediate,Lean Bulk,Push Pull Legs
43,Female,18.5,Intermediate,Lean Bulk,Push Pull Legs
41,Male,22.2,Intermediate,Lean Bulk,Push Pull Legs
42,Female,26.4,Intermediate,Lean Bulk,Push Pull Legs
19,Male,19.6,Intermediate,Lean Bulk,Push Pull Legs
26,Female,29.1,Intermediate,Lean Bulk,Push Pull Legs
41,Female,26.3,Intermediate,Lean Bulk,Push Pull Legs
29,Female,24.2,Intermediate,Lean Bulk,Push Pull Legs
39,Female,34.2,Intermediate,Lean Bulk,Push Pull Legs
48,Male,27.9,Intermediate,Lean Bulk,Push Pull Legs
27,Female,21.8,Intermediate,Lean Bulk,Push Pull Legs
31,Male,28.4,Intermediate,Lean Bulk,Push Pull Legs
48,Female,20.2,Intermediate,Lean Bulk,Push Pull Legs
21,Female,24.2,Intermediate,Lean Bulk,Push Pull Legs
20,Male,19.7,Intermediate,Lean Bulk,Push Pull Legs
35,Female,19.6,Intermediate,Lean Bulk,Push Pull Legs
34,Male,27.8,Intermediate,Lean Bulk,Push Pull Legs
40,Female,30.6,Intermediate,Lean Bulk,Push Pull Legs
21,Male,33.7,Intermediate,Lean Bulk,Push Pull Legs
29,Female,18.4,Intermediate,Lean Bulk,Push Pull Legs
25,Male,18.4,Intermediate,Lean Bulk,Push Pull Legs
40,Female,21.2,Intermediate,Lean Bulk,Push Pull Legs
29,Female,28.5,Intermediate,Lean Bulk,Push Pull Legs
19,Female,19.3,Intermediate,Lean Bulk,Push Pull Legs
21,Female,22.3,Intermediate,Lean Bulk,Push Pull Legs
26,Female,28.4,Advanced,Lean Bulk,Bro Split
45,Female,18.3,Advanced,Lean Bulk,Bro Split
50,Male,18.4,Advanced,Lean Bulk,Bro Split
42,Male,18.5,Advanced,Lean Bulk,Bro Split
49,Female,26.1,Advanced,Lean Bulk,Bro Split
40,Male,28.2,Advanced,Lean Bulk,Bro Split
47,Female,23.4,Advanced,Lean Bulk,Bro Split
31,Male,32.2,Advanced,Lean Bulk,Bro Split
46,Female,28.8,Advanced,Lean Bulk,Bro Split
26,Male,34.2,Advanced,Lean Bulk,Bro Split
27,Male,19.2,Advanced,Lean Bulk,Bro Split
25,Female,28.1,Advanced,Lean Bulk,Bro Split
36,Female,32.2,Advanced,Lean Bulk,Bro Split
47,Male,32.3,Advanced,Lean Bulk,Bro Split
33,Female,26.3,Advanced,Lean Bulk,Bro Split
33,Male,23.6,Advanced,Lean Bulk,Bro Split
25,Female,20.5,Advanced,Lean Bulk,Bro Split
47,Female,23.1,Advanced,Lean Bulk,Bro Split
43,Female,23.7,Advanced,Lean Bulk,Bro Split
47,Female,29.2,Advanced,Lean Bulk,Bro Split
33,Female,23.6,Advanced,Lean Bulk,Bro Split
19,Male,23.1,Advanced,Lean Bulk,Bro Split
41,Male,21.4,Advanced,Lean Bulk,Bro Split
18,Female,31.2,Advanced,Lean Bulk,Bro Split
41,Male,28.9,Advanced,Lean Bulk,Bro Split
40,Male,23.5,Advanced,Lean Bulk,Bro Split
35,Male,24.1,Advanced,Lean Bulk,Bro Split
28,Female,27.8,Advanced,Lean Bulk,Bro Split
30,Female,27.9,Advanced,Lean Bulk,Bro Split
29,Female,24.9,Advanced,Lean Bulk,Bro Split
36,Male,27.3,Advanced,Lean Bulk,Bro Split
26,Female,18.1,Advanced,Lean Bulk,Bro Split
43,Female,33.3,Advanced,Lean Bulk,Bro Split
39,Male,30.8,Advanced,Lean Bulk,Bro Split
23,Male,32.0,Beginner,Cut,Walking + Bodyweight
36,Female,18.2,Beginner,Cut,Walking + Bodyweight
49,Male,28.6,Beginner,Cut,Walking + Bodyweight
39,Male,27.2,Beginner,Cut,Walking + Bodyweight
49,Female,24.0,Beginner,Cut,Walking + Bodyweight
23,Female,28.8,Beginner,Cut,Walking + Bodyweight
49,Male,24.6,Beginner,Cut,Walking + Bodyweight
45,Male,25.8,Beginner,Cut,Walking + Bodyweight
45,Female,22.9,Beginner,Cut,Walking + Bodyweight
34,Male,31.1,Beginner,Cut,Walking + Bodyweight
42,Female,20.1,Beginner,Cut,Walking + Bodyweight
22,Female,23.6,Beginner,Cut,Walking + Bodyweight
47,Male,25.9,Beginner,Cut,Walking + Bodyweight
24,Male,24.2,Beginner,Cut,Walking + Bodyweight
28,Male,24.8,Beginner,Cut,Walking + Bodyweight
40,Male,21.8,Beginner,Cut,Walking + Bodyweight
19,Female,27.4,Beginner,Cut,Walking + Bodyweight
36,Male,30.0,Beginner,Cut,Walking + Bodyweight
39,Female,29.2,Beginner,Cut,Walking + Bodyweight
36,Female,34.1,Beginner,Cut,Walking + Bodyweight
32,Female,24.7,Beginner,Cut,Walking + Bodyweight
49,Female,21.2,Beginner,Cut,Walking + Bodyweight
31,Female,27.9,Beginner,Cut,Walking + Bodyweight
41,Male,20.3,Beginner,Cut,Walking + Bodyweight
35,Male,27.9,Beginner,Cut,Walking + Bodyweight
38,Female,31.1,Beginner,Cut,Walking + Bodyweight
35,Female,22.2,Beginner,Cut,Walking + Bodyweight
28,Male,31.9,Beginner,Cut,Walking + Bodyweight
30,Female,34.5,Beginner,Cut,Walking + Bodyweight
27,Female,24.8,Beginner,Cut,Walking + Bodyweight
50,Female,27.4,Beginner,Cut,Walking + Bodyweight
43,Male,26.7,Beginner,Cut,Walking + Bodyweight
37,Male,29.8,Beginner,Cut,Walking + Bodyweight
18,Female,30.5,Beginner,Cut,Walking + Bodyweight
26,Female,33.1,Intermediate,Cut,HIIT + Strength
27,Male,29.5,Intermediate,Cut,HIIT + Strength
24,Female,24.3,Intermediate,Cut,HIIT + Strength
36,Female,29.6,Intermediate,Cut,HIIT + Strength
30,Male,26.4,Intermediate,Cut,HIIT + Strength
19,Male,32.7,Intermediate,Cut,HIIT + Strength
34,Male,32.1,Intermediate,Cut,HIIT + Strength
24,Male,26.1,Intermediate,Cut,HIIT + Strength
46,Male,34.6,Intermediate,Cut,HIIT + Strength
40,Female,29.2,Intermediate,Cut,HIIT + Strength
33,Male,19.2,Intermediate,Cut,HIIT + Strength
37,Male,29.2,Intermediate,Cut,HIIT + Strength
23,Male,24.7,Intermediate,Cut,HIIT + Strength
44,Male,32.3,Intermediate,Cut,HIIT + Strength
44,Female,22.9,Intermediate,Cut,HIIT + Strength
45,Female,23.5,Intermediate,Cut,HIIT + Strength
45,Male,33.4,Intermediate,Cut,HIIT + Strength
47,Male,21.7,Intermediate,Cut,HIIT + Strength
34,Female,32.9,Intermediate,Cut,HIIT + Strength
27,Male,25.1,Intermediate,Cut,HIIT + Strength
35,Male,24.8,Intermediate,Cut,HIIT + Strength
19,Female,32.9,Intermediate,Cut,HIIT + Strength
31,Female,30.5,Intermediate,Cut,HIIT + Strength
31,Male,22.0,Intermediate,Cut,HIIT + Strength
39,Male,25.4,Intermediate,Cut,HIIT + Strength
37,Male,34.9,Intermediate,Cut,HIIT + Strength
21,Male,21.8,Intermediate,Cut,HIIT + Strength
48,Female,29.2,Intermediate,Cut,HIIT + Strength
23,Male,24.0,Intermediate,Cut,HIIT + Strength
38,Female,23.2,Intermediate,Cut,HIIT + Strength
27,Female,20.9,Intermediate,Cut,HIIT + Strength
45,Female,32.3,Intermediate,Cut,HIIT + Strength
